,coal_price($/MT),power_price,oil_price(TEUR),wind_speed,tempereature,gas
1,84,2.499,1.629,12,-1,1.9
2,86,1.759,1.588,13,-2,1.85
3,79,1.826,1.548,15,0,1.73
4,68,1.453,1.272,14,4,1.6
5,81,1.605,1.286,12,6,1.5
6,86,2.628,1.355,10,11,1.6
7,86,2.462,1.451,10,13,1.69
8,83,3.454,1.425,9,13,1.8
9,91,3.854,1.472,12,11,1.83
10,92,2.575,1.472,6,8,1.78
11,95,2.375,1.404,5.5,3,1.75
12,114,3.451,1.445,7.5,1,1.8
1,120,5.021,1.503,12,-1,1.9
2,83,4.726,1.517,13,-2,1.95
3,106,4.511,1.584,15,0,1.98
4,116,4.797,1.623,14,3,2
5,120,5.431,1.637,12,7,2.05
6,146,7.372,1.663,10,11,2.04
7,146,8,1.689,10,14,2.01
8,146,8.279,1.702,9,13,2.1
9,157,12.536,1.716,12,10,2.13
10,157,11.69,1.767,6,8,2.2
11,157,14.18,1.833,5.5,3,2.1
12,157,18.935,1.727,7.5,0,2.13
1,157,11.799,1.804,6.5,-1,2.19
2,157,11.312,1.87,5.5,-2,2.25
3,157,23.578,2.072,5,0,2.4
4,157,16.364,1.088,6,3,2.3
5,157,17.186,2.41,7,7,2.35
